ResponseId;Q120;MainBranch;Age;Employment;RemotoWork;CodingActivities;EdLevel;LearnCode.1;LearnCode.2;LearnCode.3;LearnCode.4;LearnCode.5;LearnCode.6;LearnCode.7;LearnCode.8;LearnCodeOnline;LearnCodeCoursesCert;YearsCode;YearsCodePro;DevType;OrgSize;PurchaseInfluence;TechList;BuyNewTool;Country;Currency;CompTotal;LanguageHaveWorkedWith;LanguageWantToWorkWith.1;LanguageWantToWorkWith.2;LanguageWantToWorkWith.3;LanguageWantToWorkWith.4;LanguageWantToWorkWith.5;LanguageWantToWorkWith.6;LanguageWantToWorkWith.7;LanguageWantToWorkWith.8;LanguageWantToWorkWith.9;LanguageWantToWorkWith.10;LanguageWantToWorkWith.11;LanguageWantToWorkWith.12;LanguageWantToWorkWith.13;DatabaseHaveWorkedWith;DatabaseWantToWorkWith;PlatformHaveWorkedWith;PlatformWantToWorkWith;WebframeHaveWorkedWith;WebframeWantToWorkWith;MiscTechHaveWorkedWith;MiscTechWantToWorkWith;ToolsTechHaveWorkedWith;ToolsTechWantToWorkWith;NEWCollabToolsHaveWorkedWith;NEWCollabToolsWantToWorkWith;OpSysPersonal use;OpSysProfessional use;OfficeStackAsyncHaveWorkedWith;OfficeStackAsyncWantToWorkWith;OfficeStackSyncHaveWorkedWith;OfficeStackSyncWantToWorkWith;AISearchHaveWorkedWith;AISearchWantToWorkWith;AIDevHaveWorkedWith;AIDevWantToWorkWith;NEWSOSites;SOVisitFreq;SOAccount;SOPartFreq;SOComm;SOAI;AISelect;AISent;AIAcc;AIBen;AIToolInterested in Using;AIToolCurrently Using;AIToolNot interested in Using;AINextVery different;AINextNeither different nor similar;AINextSomewhat similar;AINextVery similar;AINextSomewhat different;TBranch;ICorPM;WorkExp;Knowledge_1;Knowledge_2;Knowledge_3;Knowledge_4;Knowledge_5;Knowledge_6;Knowledge_7;Knowledge_8;Frequency_1;Frequency_2;Frequency_3;TimeSearching;TimeAnswering;ProfessionalTech;Industry;SurveyLength;SurveyEase;ConvertedCompYearly
44319;I agree;I am a developer by profession;35-44 years old;Employed, full-time;Remoto;"Hobby;Contribute to open-source projects";Some college/university study without earning a degree;Books / Physical media;Online Courses or Certification;Other online resources (e.g., videos, blogs, forum);;;;;;"Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;How-to videos;Written Tutorials;Stack Overflow";"Udemy;Pluralsight";20;18;Developer, full-stack;100 to 499 employees;I have some influence;Investigate;"Start a free trial;Ask developers I know/work with;Read ratings or reviews on third party sites like G2 Crowd";Brazil;"BRL	Brazilian real";NA;"Bash/Shell (all shells);Go;HTML/CSS;JavaScript;TypeScript";Go;HTML/CSS;JavaScript;Python;Rust;TypeScript;;;;;;;;"MongoDB;Redis";"Elasticsearch;InfluxDB;MongoDB;Redis";Google Cloud;Google Cloud;"Node.js;React";"React;Solid.js";NA;NA;"Docker;Make;npm;pnpm;Terraform;Webpack;Yarn";"Docker;pnpm;Podman;Terraform";Neovim;"Helix;Neovim";Arch;Arch;"Confluence;Jira;Markdown File";"Markdown File;Trello";"Microsoft Teams;Slack;Whatsapp";"Google Meet;Slack;Whatsapp";NA;NA;NA;NA;"Stack Overflow;Stack Exchange;Collectives on Stack Overflow";Multiple times per day;Yes;Daily or almost daily;Yes, definitely;NA;No, but I plan to soon;Favorable;NA;Neither trust nor distrust;NA;NA;NA;NA;NA;NA;NA;NA;Yes;Individual contributor;20;Strongly agree;Agree;Disagree;Disagree;Agree;Neither agree nor disagree;Agree;Disagree;1-2 times a week;3-5 times a week;1-2 times a week;15-30 minutes a day;15-30 minutes a day;"DevOps function;Microservices;Automated testing;Observability tools;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery";NA;Appropriate in length;Neither easy nor difficult;NA
44340;I agree;I am a developer by profession;35-44 years old;Employed, full-time;Remoto;Professional development or self-paced learning from online courses;Master’s degree (M.A., M.S., M.Eng., MBA, etc.);Books / Physical media;Colleague;Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);;;"Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;How-to videos;Video-based Online Courses;Written-based Online Courses;Written Tutorials;Stack Overflow;Certification videos";"edX;Udemy;Udacity";26;22;Developer, back-end;20 to 99 employees;I have some influence;Given a list;"Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow";Brazil;"BRL	Brazilian real";299000;"Bash/Shell (all shells);JavaScript;Python;SQL;TypeScript";Clojure;Rust;SQL;TypeScript;;;;;;;;;;PostgreSQL;"MongoDB;PostgreSQL";"Amazon Web Services (AWS);Google Cloud";"Amazon Web Services (AWS);Google Cloud";"Flask;React";Vue.js;NA;NA;"Cargo;Docker;npm;Vite";"Cargo;Docker;Google Test;Meson;npm;Unreal Engine;Vite";Visual Studio Code;Visual Studio Code;Ubuntu;Ubuntu;"Confluence;Jira";"Confluence;Miro";"Discord;Google Meet;Microsoft Teams;Signal;Whatsapp;Zoom";"Discord;Google Meet;Rocketchat;Signal;Whatsapp";NA;NA;NA;NA;"Stack Overflow;Stack Exchange";A few times per month or weekly;Not sure/can't remember;NA;Neutral;NA;No, and I don't plan to;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Yes;Individual contributor;22;Agree;Neither agree nor disagree;Neither agree nor disagree;Agree;Agree;Disagree;Agree;Strongly agree;1-2 times a week;3-5 times a week;1-2 times a week;15-30 minutes a day;30-60 minutes a day;"DevOps function;Automated testing;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery";Healthcare;Appropriate in length;Easy;60660
44352;I agree;I am a developer by profession;25-34 years old;Employed, full-time;Híbrido (alguns remotos, outros presenciais);"Hobby;Professional development or self-paced learning from online courses";Bachelor’s degree (B.A., B.S., B.Eng., etc.);School (i.e., University, College, etc);;;;;;;;NA;NA;10;8;Developer, back-end;1,000 to 4,999 employees;I have some influence;Given a list;Ask developers I know/work with;Brazil;"BRL	Brazilian real";150000;"Bash/Shell (all shells);Go;Java;Kotlin;Lua;SQL";Bash/Shell (all shells);Java;Kotlin;SQL;;;;;;;;;;PostgreSQL;PostgreSQL;"Amazon Web Services (AWS);Google Cloud";Amazon Web Services (AWS);"Flask;Spring Boot";Spring Boot;"Apache Kafka;Ktor;Spring Framework";"Apache Kafka;Ktor;Spring Framework";"Docker;Gradle;Kubernetes;Make;Maven (build tool);Pip";"Docker;Kubernetes;Make;Maven (build tool);Pip";"IntelliJ IDEA;Sublime Text;Vim;Visual Studio Code";"IntelliJ IDEA;Sublime Text;Vim";Ubuntu;Ubuntu;Jira;"Notion;Trello";"Discord;Google Meet;Slack;Zoom";"Google Meet;Slack";NA;NA;NA;NA;Stack Overflow;Daily or almost daily;Not sure/can't remember;NA;No, not at all;NA;No, and I don't plan to;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Yes;Individual contributor;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30-60 minutes a day;"Microservices;Automated testing;Observability tools;Continuous integration (CI) and (more often) continuous delivery";Information Services, IT, Software Development, or other Technology;Appropriate in length;Neither easy nor difficult;30431
44407;I agree;I am a developer by profession;25-34 years old;Employed, full-time;Remoto;"Hobby;Professional development or self-paced learning from online courses";Bachelor’s degree (B.A., B.S., B.Eng., etc.);Books / Physical media;Hackathons (virtual or in-person);Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum);;;;"Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;How-to videos;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Written Tutorials;Click to write Choice 20;Stack Overflow;Certification videos";"edX;Udemy;Pluralsight";13;7;Security professional;5,000 to 9,999 employees;I have some influence;Investigate;"Start a free trial;Ask developers I know/work with;Read ratings or reviews on third party sites like G2 Crowd";Brazil;"BRL	Brazilian real";200000;"Bash/Shell (all shells);Go;Python;SQL;TypeScript";Bash/Shell (all shells);Go;Python;Rust;SQL;TypeScript;;;;;;;;PostgreSQL;"PostgreSQL;Redis";Amazon Web Services (AWS);Amazon Web Services (AWS);NA;NA;Pandas;Pandas;"Docker;Homebrew;Kubernetes;Make;Pip";"Cargo;Docker;Homebrew;Kubernetes;Make;Pip";"Goland;Visual Studio Code";"Goland;Visual Studio Code";"MacOS;Windows";MacOS;Confluence;Confluence;"Discord;Slack";"Discord;Slack";ChatGPT;ChatGPT;NA;NA;"Stack Overflow;Stack Exchange";Daily or almost daily;Yes;I have never participated in Q&A on Stack Overflow;Neutral;I think it can help by enhancing/enforcing quality of responses made, downvoting/excluding invalid/incorrect  answers, for example. Also, it could help who's writing the question by searching other similar questions.;Yes;Very favorable;"Increase productivity;Improve collaboration";Neither trust nor distrust;"Learning about a codebase;Writing code;Documenting code;Debugging and getting help;Testing code;Committing and reviewing code";"Writing code;Debugging and getting help";"Project planning;Deployment and monitoring;Collaborating with teammates ";;;;;"Writing code;Debugging and getting help";Yes;Individual contributor;7;Agree;Strongly disagree;Agree;Strongly agree;Agree;Neither agree nor disagree;Neither agree nor disagree;Agree;1-2 times a week;1-2 times a week;Never;15-30 minutes a day;15-30 minutes a day;"DevOps function;Microservices;Automated testing;Observability tools;Innersource initiative;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;AI-assisted technology tool(s)";Information Services, IT, Software Development, or other Technology;Appropriate in length;Easy;40575
44416;I agree;I am a developer by profession;18-24 years old;Employed, full-time;Remoto;"Professional development or self-paced learning from online courses;Freelance/contract work";Bachelor’s degree (B.A., B.S., B.Eng., etc.);Books / Physical media;Colleague;Online Courses or Certification;Other online resources (e.g., videos, blogs, forum);;;;;"Formal documentation provided by the owner of the tech;Blogs with tips and tricks;How-to videos;Video-based Online Courses;Written Tutorials;Certification videos";Udemy;9;5;Developer, back-end;1,000 to 4,999 employees;I have little or no influence;NA;"Start a free trial;Ask developers I know/work with";Brazil;"BRL	Brazilian real";160000;"Dart;Go;Kotlin;SQL;TypeScript";Go;;;;;;;;;;;;;"Microsoft SQL Server;MySQL;PostgreSQL";NA;Amazon Web Services (AWS);Amazon Web Services (AWS);"NestJS;Node.js";NA;Flutter;Apache Kafka;"Docker;Gradle;Homebrew;Kubernetes;npm";"Ansible;Docker;Kubernetes";"DataGrip;Goland;IntelliJ IDEA;Visual Studio Code;WebStorm";"DataGrip;Goland;IntelliJ IDEA";"iOS;iPadOS;MacOS";MacOS;"Confluence;Jira;Miro";"Confluence;Jira;Miro";"Discord;Google Meet;Slack;Whatsapp";"Discord;Slack;Whatsapp";ChatGPT;ChatGPT;NA;NA;Stack Overflow;Daily or almost daily;Yes;I have never participated in Q&A on Stack Overflow;No, not really;NA;No, but I plan to soon;Very favorable;NA;Neither trust nor distrust;NA;NA;NA;NA;NA;NA;NA;NA;Yes;Individual contributor;5;Agree;Neither agree nor disagree;Agree;Agree;Neither agree nor disagree;Neither agree nor disagree;Agree;Agree;10+ times a week;10+ times a week;1-2 times a week;30-60 minutes a day;15-30 minutes a day;"DevOps function;Microservices;Automated testing;Observability tools;Innersource initiative;Continuous integration (CI) and (more often) continuous delivery;AI-assisted technology tool(s)";Retail and Consumer Services;Appropriate in length;Easy;32460
44424;I agree;I am a developer by profession;25-34 years old;Independent contractor, freelancer, or self-employed;Remoto;I don’t code outside of work;Bachelor’s degree (B.A., B.S., B.Eng., etc.);Books / Physical media;Colleague;Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum);;;;"Formal documentation provided by the owner of the tech;Books;Recorded coding sessions;How-to videos;Video-based Online Courses;Written-based Online Courses;Stack Overflow";"Other;Udemy";11;8;Developer, full-stack;20 to 99 employees;I have little or no influence;NA;"Start a free trial;Ask developers I know/work with;Read ratings or reviews on third party sites like G2 Crowd";Brazil;"BRL	Brazilian real";21000;"HTML/CSS;JavaScript;Solidity;TypeScript";Go;HTML/CSS;JavaScript;Solidity;TypeScript;;;;;;;;;"MongoDB;MySQL;PostgreSQL";MongoDB;"Amazon Web Services (AWS);Heroku;Vercel";Amazon Web Services (AWS);"NestJS;Next.js;Node.js;React";"Node.js;React";NA;NA;"Docker;Make;npm;Yarn";"Docker;Kubernetes;Make;npm";"DataGrip;Visual Studio Code";Visual Studio Code;Windows;Ubuntu;"Confluence;Jira;Miro";"Confluence;Jira;Miro";"Discord;Google Meet;Slack";"Google Meet;Slack;Zoom";NA;NA;NA;NA;"Stack Overflow;Stack Exchange";Daily or almost daily;Yes;Less than once per month or monthly;No, not really;I believe it would be great;No, but I plan to soon;Favorable;NA;Somewhat trust;NA;NA;NA;NA;NA;NA;NA;NA;Yes;Individual contributor;8;Agree;Agree;Strongly agree;Agree;Agree;Agree;Agree;Neither agree nor disagree;1-2 times a week;3-5 times a week;6-10 times a week;30-60 minutes a day;Less than 15 minutes a day;"DevOps function;Microservices;Automated testing;Observability tools;Innersource initiative;Continuous integration (CI) and (more often) continuous delivery";NA;Appropriate in length;Easy;4260
44478;I agree;I am a developer by profession;35-44 years old;Employed, full-time;Remoto;Hobby;Bachelor’s degree (B.A., B.S., B.Eng., etc.);Books / Physical media;Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum);Other (please specify):;;;;"Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;Written-based Online Courses;Written Tutorials;Click to write Choice 20;Stack Overflow;Other (Please specify):";"Udemy;Coursera";15;15;Developer, back-end;1,000 to 4,999 employees;I have some influence;Investigate;"Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit;Read ratings or reviews on third party sites like G2 Crowd;Ask a generative AI tool";Brazil;"BRL	Brazilian real";170000;"Go;Kotlin;TypeScript";NA;;;;;;;;;;;;;"Cassandra;Dynamodb;Elasticsearch;PostgreSQL";"Elasticsearch;PostgreSQL";Amazon Web Services (AWS);Amazon Web Services (AWS);"Node.js;Spring Boot";NA;"Apache Kafka;Apache Spark;Ktor;Spring Framework";"Apache Kafka;Apache Spark";"Gradle;Terraform";"Gradle;Terraform";"Android Studio;DataGrip;Goland;IntelliJ IDEA;Visual Studio Code";"Android Studio;DataGrip;Goland;IntelliJ IDEA";Arch;Arch;"Confluence;Jira;Miro";NA;"Discord;Google Meet;Slack;Zoom";"Discord;Google Meet;Slack";ChatGPT;ChatGPT;NA;NA;"Stack Overflow;Stack Exchange";A few times per week;No;NA;No, not really;NA;Yes;Very favorable;"Increase productivity;Greater efficiency;Speed up learning;Improve accuracy in coding";Neither trust nor distrust;;"Writing code;Debugging and getting help;Collaborating with teammates ";"Learning about a codebase;Project planning;Documenting code;Testing code;Committing and reviewing code;Deployment and monitoring";Debugging and getting help;;;Collaborating with teammates ;Writing code;Yes;Individual contributor;15;Strongly agree;Neither agree nor disagree;Strongly agree;Strongly agree;Disagree;Neither agree nor disagree;Strongly agree;Agree;1-2 times a week;10+ times a week;1-2 times a week;30-60 minutes a day;30-60 minutes a day;"Microservices;Automated testing;Observability tools;Continuous integration (CI) and (more often) continuous delivery;AI-assisted technology tool(s)";Financial Services;Appropriate in length;Easy;34489
44496;I agree;I am a developer by profession;18-24 years old;Employed, full-time;Presencial;"Hobby;Contribute to open-source projects;Professional development or self-paced learning from online courses;School or academic work";Associate degree (A.A., A.S., etc.);Books / Physical media;On the job training;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);;;;;"Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;Written-based Online Courses;Written Tutorials;Click to write Choice 20;Stack Overflow";NA;6;4;Developer, back-end;20 to 99 employees;I have some influence;Investigate;"Ask developers I know/work with;Visit developer communities like Stack Overflow;Other (please specify):";Brazil;"BRL	Brazilian real";100000;"Bash/Shell (all shells);C;Go;HTML/CSS;JavaScript;Python;Rust;SQL";Bash/Shell (all shells);Go;Python;Rust;SQL;;;;;;;;;"BigQuery;Elasticsearch;PostgreSQL;Redis;SQLite";"PostgreSQL;Redis;SQLite";"Google Cloud;Linode, now Akamai";Cloudflare;"Django;Vue.js";"Django;Vue.js";NA;NA;"Cargo;GNU GCC;Homebrew;Make;MSVC;npm;Pip";Cargo;"Vim;Visual Studio Code;VSCodium";NA;"MacOS;Ubuntu;Windows;Windows Subsystem for Linux (WSL)";"MacOS;Ubuntu;Windows Subsystem for Linux (WSL)";"GitHub Discussions;Markdown File;Wikis";"GitHub Discussions;Markdown File;Wikis";"Discord;Google Meet;Slack;Zulip";"Discord;Google Meet;Zulip";NA;NA;NA;NA;"Stack Overflow;Stack Exchange";Daily or almost daily;Yes;I have never participated in Q&A on Stack Overflow;Yes, somewhat;To me, the usefulness of SO is whenever there's something obscure that needs explaining. It seems like in these cases, since AI is trained on general data, it fails to explain such cases.;No, and I don't plan to;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Appropriate in length;Easy;20288
44510;I agree;I am a developer by profession;45-54 years old;Employed, full-time;Remoto;Hobby;Bachelor’s degree (B.A., B.S., B.Eng., etc.); videos, blogs, forum;School (i.e., University, College, etc);;;;;;;"Formal documentation provided by the owner of the tech;Written Tutorials;Stack Overflow";NA;29;25;Developer, back-end;5,000 to 9,999 employees;I have little or no influence;NA;"Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd";Brazil;"BRL	Brazilian real";237000;Kotlin;Kotlin;Rust;;;;;;;;;;;;PostgreSQL;PostgreSQL;Amazon Web Services (AWS);Amazon Web Services (AWS);Spring Boot;Spring Boot;Apache Kafka;Apache Kafka;"Docker;Gradle;Maven (build tool)";"Docker;Gradle;Maven (build tool)";"IntelliJ IDEA;Visual Studio Code";"IntelliJ IDEA;Visual Studio Code";MacOS;MacOS;"Confluence;Jira";"Confluence;Jira";"Google Meet;Slack";"Google Meet;Slack";NA;NA;NA;NA;Stack Overflow;A few times per week;Yes;Less than once per month or monthly;No, not really;NA;No, and I don't plan to;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Yes;Individual contributor;26;Agree;Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Disagree;1-2 times a week;3-5 times a week;1-2 times a week;15-30 minutes a day;30-60 minutes a day;"Microservices;Automated testing;Observability tools;Continuous integration (CI) and (more often) continuous delivery";Information Services, IT, Software Development, or other Technology;Appropriate in length;Easy;48082
44517;I agree;I am not primarily a developer, but I write code sometimes as part of my work/studies;35-44 years old;Employed, full-time;Híbrido (alguns remotos, outros presenciais);"Hobby;Contribute to open-source projects;Professional development or self-paced learning from online courses;Freelance/contract work";Bachelor’s degree (B.A., B.S., B.Eng., etc.);Online Courses or Certification;Other online resources (e.g., videos, blogs, forum);;;;;;;"Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;Recorded coding sessions;How-to videos;Video-based Online Courses;Written-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Written Tutorials;Click to write Choice 20;Stack Overflow;Interactive tutorial";"Codecademy;edX;Udemy;Pluralsight;Coursera";15;7;Developer, full-stack;20 to 99 employees;I have a great deal of influence;Investigate;"Ask developers I know/work with;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit;Ask a generative AI tool";Brazil;"BRL	Brazilian real";120000;"Bash/Shell (all shells);C;C++;Elixir;Erlang;Go;Java;JavaScript;Kotlin;Objective-C;PowerShell;Python;R;Ruby;Rust;SQL;Swift;TypeScript";Bash/Shell (all shells);C++;Elixir;Ruby;Rust;Swift;;;;;;;;"BigQuery;Cloud Firestore;Elasticsearch;Firebase Realtime Database;Firebird;MongoDB;MySQL;PostgreSQL;Redis;SQLite";"Cockroachdb;Neo4J;PostgreSQL;Redis;Supabase";"Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase;Google Cloud;Heroku;Microsoft Azure;Oracle Cloud Infrastructure (OCI);Vercel";"Amazon Web Services (AWS);Cloudflare;Google Cloud;Vercel";"Angular;AngularJS;Django;Drupal;Express;Flask;jQuery;Next.js;Node.js;Nuxt.js;Phoenix;React;Ruby on Rails;Vue.js;WordPress";"Next.js;Phoenix;React;Ruby on Rails";"Cordova;Electron;Flutter;Hugging Face Transformers;Ionic;NumPy;Opencv;Pandas;RabbitMQ;SwiftUI;TensorFlow;Torch/PyTorch";"Flutter;Hugging Face Transformers;NumPy;Opencv;Pandas;SwiftUI;TensorFlow;Torch/PyTorch";"Cargo;Chocolatey;Docker;Homebrew;Kubernetes;LLVM's Clang;Make;MSVC;npm;Pip;SCons;Terraform;Unreal Engine;Webpack;Yarn";"Ansible;Cargo;Chocolatey;Docker;Homebrew;Terraform;Unreal Engine";"Android Studio;Atom;Neovim;RStudio;RubyMine;Sublime Text;Vim;Visual Studio;Visual Studio Code;Xcode";"Atom;Neovim";"Android;iOS;MacOS;Ubuntu;Windows";;GitHub Discussions;NA;"Discord;Google Chat;Google Meet;Jitsi;Microsoft Teams;Rocketchat;Signal;Skype;Slack;Whatsapp;Zoom";"Discord;Google Meet;Jitsi";"Bing AI;ChatGPT";ChatGPT;GitHub Copilot;GitHub Copilot;"Stack Overflow;Stack Exchange";Daily or almost daily;Yes;Less than once per month or monthly;No, not really;Is a good option, and could help from filtering duplicates and stats hoarders to better navigation;Yes;Very favorable;"Increase productivity;Speed up learning";Somewhat trust;"Learning about a codebase;Documenting code;Testing code;Committing and reviewing code;Deployment and monitoring;Collaborating with teammates ";"Writing code;Debugging and getting help";Project planning;;Writing code;;;Debugging and getting help;Yes;People manager;15;Strongly agree;Strongly disagree;Strongly agree;Strongly agree;Strongly agree;Neither agree nor disagree;Neither agree nor disagree;Strongly agree;3-5 times a week;6-10 times a week;Never;60-120 minutes a day;60-120 minutes a day;"DevOps function;Automated testing;Continuous integration (CI) and (more often) continuous delivery;AI-assisted technology tool(s)";Information Services, IT, Software Development, or other Technology;Appropriate in length;Neither easy nor difficult;24345
44553;I agree;I am a developer by profession;35-44 years old;"Employed, full-time;Independent contractor, freelancer, or self-employed";Remoto;"Hobby;Contribute to open-source projects;Bootstrapping a business;Professional development or self-paced learning from online courses";Bachelor’s degree (B.A., B.S., B.Eng., etc.);Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);;;;;"Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;Recorded coding sessions;How-to videos;Video-based Online Courses;Written Tutorials;Stack Overflow";"Codecademy;Udemy;Udacity";18;16;Engineer, site reliability;20 to 99 employees;I have some influence;Given a list;"Start a free trial;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd;Ask a generative AI tool";Brazil;"BRL	Brazilian real";520000;"HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;TypeScript";Dart;HTML/CSS;Kotlin;Rust;;;;;;;;;;"Cloud Firestore;H2;MongoDB;MySQL;PostgreSQL;Redis;SQLite";"Cloud Firestore;Elasticsearch;MongoDB;Neo4J;PostgreSQL;Redis";"Amazon Web Services (AWS);Firebase;Heroku";"Amazon Web Services (AWS);Firebase";"FastAPI;Flask;NestJS;Next.js;React;Spring Boot";React;Flutter;"Apache Kafka;Flutter;Ktor;Micronaut;TensorFlow";"Docker;Gradle;Homebrew;Kubernetes;Make;npm;Pip;Pulumi;Terraform;Yarn";"Docker;Gradle;Homebrew;Kubernetes;npm;Pulumi";"IntelliJ IDEA;Visual Studio Code";"IntelliJ IDEA;Visual Studio Code";"MacOS;Windows Subsystem for Linux (WSL)";"MacOS;Ubuntu;Windows;Windows Subsystem for Linux (WSL)";"Confluence;Jira;Markdown File;Miro";"Jira;Markdown File;Miro";"Discord;Google Meet;Slack;Zoom";"Discord;Google Meet;Slack";ChatGPT;"ChatGPT;You.com";GitHub Copilot;GitHub Copilot;"Stack Overflow;Stack Exchange";A few times per week;Yes;Less than once per month or monthly;Neutral;NA;No, but I plan to soon;Favorable;NA;Neither trust nor distrust;NA;NA;NA;NA;NA;NA;NA;NA;Yes;Individual contributor;17;Strongly agree;Agree;Agree;Agree;Neither agree nor disagree;Agree;Strongly agree;Agree;3-5 times a week;1-2 times a week;Never;30-60 minutes a day;Less than 15 minutes a day;"DevOps function;Microservices;Automated testing;Observability tools;Innersource initiative;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery";Retail and Consumer Services;Too long;Neither easy nor difficult;105496
44621;I agree;I am a developer by profession;25-34 years old;Employed, full-time;Remoto;I don’t code outside of work;Master’s degree (M.A., M.S., M.Eng., MBA, etc.);Books / Physical media;Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum);;;;;"Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Written Tutorials;Stack Overflow;Other (Please specify):";"Other;Udemy";13;11;Developer, back-end;5,000 to 9,999 employees;I have little or no influence;NA;NA;Brazil;"BRL	Brazilian real";250000;"Go;Java;Kotlin";Go;Kotlin;;;;;;;;;;;;"Cassandra;Dynamodb;MySQL;Oracle;PostgreSQL";"Dynamodb;PostgreSQL";Amazon Web Services (AWS);Amazon Web Services (AWS);"Express;Next.js;Node.js;Spring Boot";"Express;Next.js;Node.js;Spring Boot";NA;NA;"Docker;Kubernetes";"Docker;Kubernetes";"Goland;IntelliJ IDEA;Visual Studio Code";"Goland;IntelliJ IDEA;Visual Studio Code";;MacOS;"Jira;Miro";"Jira;Miro";"Google Meet;Slack";"Google Meet;Slack";ChatGPT;ChatGPT;NA;NA;Stack Overflow;A few times per month or weekly;No;NA;No, not at all;NA;Yes;Favorable;Increase productivity;Somewhat trust;"Learning about a codebase;Documenting code;Debugging and getting help;Testing code;Committing and reviewing code";Writing code;"Project planning;Deployment and monitoring;Collaborating with teammates ";;;;;Writing code;No;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Appropriate in length;Easy;50719
44642;I agree;I am a developer by profession;25-34 years old;Employed, full-time;Remoto;"Hobby;Professional development or self-paced learning from online courses";Bachelor’s degree (B.A., B.S., B.Eng., etc.);Books / Physical media;Colleague;Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);;;"Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Recorded coding sessions;How-to videos;Written-based Online Courses;Written Tutorials;Click to write Choice 20;Stack Overflow;Certification videos";"Udemy;Coursera";10;5;Developer, back-end;1,000 to 4,999 employees;I have some influence;Investigate;"Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow";Brazil;"BRL	Brazilian real";250000;"Apex;Bash/Shell (all shells);Java;JavaScript;Kotlin;SQL";Apex;Bash/Shell (all shells);Go;Java;Kotlin;Rust;SQL;;;;;;;PostgreSQL;NA;"Amazon Web Services (AWS);Heroku";Amazon Web Services (AWS);"Node.js;Spring Boot";Spring Boot;Spring Framework;"Ktor;Spring Framework";"Docker;Gradle;Kubernetes;Maven (build tool);npm;Pip;Yarn";"Docker;Gradle;Kubernetes";"IntelliJ IDEA;Visual Studio Code;WebStorm";IntelliJ IDEA;Ubuntu;Ubuntu;"Confluence;Jira;Markdown File";NA;"Google Meet;Slack";Slack;ChatGPT;ChatGPT;NA;NA;"Stack Overflow;Stack Exchange";Daily or almost daily;Not sure/can't remember;NA;Yes, somewhat;NA;No, but I plan to soon;Favorable;NA;Somewhat trust;NA;NA;NA;NA;NA;NA;NA;NA;No;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Appropriate in length;Easy;50719
